space_id,room_name,capacity_found_at,gid,url
30514,2241 Group Study Room 2A,2,7314,https://libcal.library.utoronto.ca/space/30514
30515,2243 Group Study Room 2B,2,7314,https://libcal.library.utoronto.ca/space/30515
30516,2247 Group Study Room 2C,2,7314,https://libcal.library.utoronto.ca/space/30516
30517,2253 Group Study Room 2D,2,7314,https://libcal.library.utoronto.ca/space/30517
30518,2255 Group Study Room 2E,2,7314,https://libcal.library.utoronto.ca/space/30518
30519,2261 Group Study Room 2F,1,7314,https://libcal.library.utoronto.ca/space/30519
30520,2265 Group Study Room 2G,2,7314,https://libcal.library.utoronto.ca/space/30520
30521,2266 Group Study Room 2H,3,7314,https://libcal.library.utoronto.ca/space/30521
30522,3241 Group Study Room 3A,2,7314,https://libcal.library.utoronto.ca/space/30522
30523,3243 Group Study Room 3B,2,7314,https://libcal.library.utoronto.ca/space/30523
30524,3247 Group Study Room 3C,2,7314,https://libcal.library.utoronto.ca/space/30524
30525,3253 Group Study Room 3D,2,7314,https://libcal.library.utoronto.ca/space/30525
30526,3255 Group Study Room 3E,2,7314,https://libcal.library.utoronto.ca/space/30526
30527,3261 Group Study Room 3F,1,7314,https://libcal.library.utoronto.ca/space/30527
30528,3265 Group Study Room 3G,2,7314,https://libcal.library.utoronto.ca/space/30528
30530,3266 Group Study Room 3H,3,7314,https://libcal.library.utoronto.ca/space/30530
30531,4241 Group Study Room 4A,2,7314,https://libcal.library.utoronto.ca/space/30531
30532,4243 Group Study Room 4B,2,7314,https://libcal.library.utoronto.ca/space/30532
30533,4247 Group Study Room 4C,2,7314,https://libcal.library.utoronto.ca/space/30533
30534,4253 Group Study Room 4D,2,7314,https://libcal.library.utoronto.ca/space/30534
30535,4255 Group Study Room 4E,2,7314,https://libcal.library.utoronto.ca/space/30535
30536,4261 Group Study Room 4F,1,7314,https://libcal.library.utoronto.ca/space/30536
30537,4265 Group Study Room 4G,2,7314,https://libcal.library.utoronto.ca/space/30537
30538,4266 Group Study Room 4H,3,7314,https://libcal.library.utoronto.ca/space/30538
30588,5241 Group Study Room 5A,2,7314,https://libcal.library.utoronto.ca/space/30588
30589,5243 Group Study Room 5B,2,7314,https://libcal.library.utoronto.ca/space/30589
30590,5247 Group Study Room 5C,2,7314,https://libcal.library.utoronto.ca/space/30590
30591,5253 Group Study Room 5D,2,7314,https://libcal.library.utoronto.ca/space/30591
30592,5255 Group Study Room 5E,2,7314,https://libcal.library.utoronto.ca/space/30592
30593,5261 Group Study Room 5F,1,7314,https://libcal.library.utoronto.ca/space/30593
30594,5265 Group Study Room 5G,2,7314,https://libcal.library.utoronto.ca/space/30594
30595,5266 Group Study Room 5H,3,7314,https://libcal.library.utoronto.ca/space/30595
30596,St. George 3 (9th Floor),2,7466,https://libcal.library.utoronto.ca/space/30596
30597,St. George 4 (9th Floor),2,7466,https://libcal.library.utoronto.ca/space/30597
30598,Sussex 1 (9th Floor),2,7466,https://libcal.library.utoronto.ca/space/30598
30599,Sussex 2 (9th Floor),2,7466,https://libcal.library.utoronto.ca/space/30599
30600,St. George 3 (10th Floor),2,7466,https://libcal.library.utoronto.ca/space/30600
30601,St. George 4 (10th Floor),2,7466,https://libcal.library.utoronto.ca/space/30601
30602,Sussex 1 (10th Floor),2,7466,https://libcal.library.utoronto.ca/space/30602
30603,Sussex 2 (10th Floor),2,7466,https://libcal.library.utoronto.ca/space/30603
30604,St. George 3 (11th Floor),2,7466,https://libcal.library.utoronto.ca/space/30604
30605,St. George 4 (11th Floor),2,7466,https://libcal.library.utoronto.ca/space/30605
30606,Sussex 1 (11th Floor),2,7466,https://libcal.library.utoronto.ca/space/30606
30607,Sussex 2 (11th Floor),2,7466,https://libcal.library.utoronto.ca/space/30607
30608,St. George 3 (12th Floor),2,7466,https://libcal.library.utoronto.ca/space/30608
30609,St. George 4 (12th Floor),2,7466,https://libcal.library.utoronto.ca/space/30609
30610,Sussex 1 (12th Floor),2,7466,https://libcal.library.utoronto.ca/space/30610
30611,Sussex 2 (12th Floor),2,7466,https://libcal.library.utoronto.ca/space/30611
30612,St. George 3 (13th Floor),2,7466,https://libcal.library.utoronto.ca/space/30612
30613,St. George 4 (13th Floor),2,7466,https://libcal.library.utoronto.ca/space/30613
30614,Sussex 1 (13th Floor),2,7466,https://libcal.library.utoronto.ca/space/30614
30615,Sussex 2 (13th Floor),2,7466,https://libcal.library.utoronto.ca/space/30615
30618,Suite 1 (Ground Floor),2,7474,https://libcal.library.utoronto.ca/space/30618
30619,Suite 2 (Ground Floor),2,7474,https://libcal.library.utoronto.ca/space/30619
30620,Suite 3 (Ground Floor),2,7474,https://libcal.library.utoronto.ca/space/30620
30621,Suite 4 (Ground Floor),2,7474,https://libcal.library.utoronto.ca/space/30621
30622,Suite 5 (Ground Floor),2,7474,https://libcal.library.utoronto.ca/space/30622
31696,"Group Study Room 2, 3-026 (3rd Floor)",2,7708,https://libcal.library.utoronto.ca/space/31696
31697,"Group Study Room 3, 3-027 (3rd Floor)",2,7708,https://libcal.library.utoronto.ca/space/31697
32237,St. George 1 (9th Floor),1,7816,https://libcal.library.utoronto.ca/space/32237
32238,St. George 1 (10th Floor),1,7816,https://libcal.library.utoronto.ca/space/32238
32239,St. George 1 (11th Floor),1,7816,https://libcal.library.utoronto.ca/space/32239
32240,St. George 1 (12th Floor),1,7816,https://libcal.library.utoronto.ca/space/32240
32241,St. George 1 (13th Floor),1,7816,https://libcal.library.utoronto.ca/space/32241
30623,2100,3,7416,https://libcal.library.utoronto.ca/space/30623
30624,2101,2,7416,https://libcal.library.utoronto.ca/space/30624
30625,2102,2,7416,https://libcal.library.utoronto.ca/space/30625
30626,2103,2,7416,https://libcal.library.utoronto.ca/space/30626
30627,2104,3,7416,https://libcal.library.utoronto.ca/space/30627
30628,2105,3,7416,https://libcal.library.utoronto.ca/space/30628
30629,2106,2,7416,https://libcal.library.utoronto.ca/space/30629
30630,2107,2,7416,https://libcal.library.utoronto.ca/space/30630
30631,B105A,2,7416,https://libcal.library.utoronto.ca/space/30631
30632,B105B,2,7416,https://libcal.library.utoronto.ca/space/30632
30633,B105C,2,7416,https://libcal.library.utoronto.ca/space/30633
30634,B105D,2,7416,https://libcal.library.utoronto.ca/space/30634
30635,B105E,2,7416,https://libcal.library.utoronto.ca/space/30635
30636,B105F,2,7416,https://libcal.library.utoronto.ca/space/30636
30637,B170A,2,7416,https://libcal.library.utoronto.ca/space/30637
30638,B170B,1,7416,https://libcal.library.utoronto.ca/space/30638
30639,B172,2,7416,https://libcal.library.utoronto.ca/space/30639
30641,B174,2,7416,https://libcal.library.utoronto.ca/space/30641
30642,B175,3,7416,https://libcal.library.utoronto.ca/space/30642
30643,Marvin Gerstein Room,2,7416,https://libcal.library.utoronto.ca/space/30643
33143,Room A,2,7945,https://libcal.library.utoronto.ca/space/33143
33144,Room B,2,7945,https://libcal.library.utoronto.ca/space/33144
33145,Room D,2,7945,https://libcal.library.utoronto.ca/space/33145
33146,Room E,2,7945,https://libcal.library.utoronto.ca/space/33146
33213,Group Study Room,2,7935,https://libcal.library.utoronto.ca/space/33213
30485,M 1,1,7432,https://libcal.library.utoronto.ca/space/30485
30486,M 3,1,7432,https://libcal.library.utoronto.ca/space/30486
30487,M 5,1,7432,https://libcal.library.utoronto.ca/space/30487
30488,M 6,1,7432,https://libcal.library.utoronto.ca/space/30488
30489,M 7,1,7432,https://libcal.library.utoronto.ca/space/30489
30490,M 8,1,7432,https://libcal.library.utoronto.ca/space/30490
30491,M 9,1,7432,https://libcal.library.utoronto.ca/space/30491
30492,M10,1,7432,https://libcal.library.utoronto.ca/space/30492
30493,M11,1,7432,https://libcal.library.utoronto.ca/space/30493
30494,M12,1,7432,https://libcal.library.utoronto.ca/space/30494
30495,M13,1,7432,https://libcal.library.utoronto.ca/space/30495
30496,M14,1,7432,https://libcal.library.utoronto.ca/space/30496
30497,M15,1,7432,https://libcal.library.utoronto.ca/space/30497
30498,M28,1,7432,https://libcal.library.utoronto.ca/space/30498
30499,M30,1,7432,https://libcal.library.utoronto.ca/space/30499
30500,M32,1,7432,https://libcal.library.utoronto.ca/space/30500
30501,M34,1,7433,https://libcal.library.utoronto.ca/space/30501
30502,M36,1,7433,https://libcal.library.utoronto.ca/space/30502
30503,M40,2,7434,https://libcal.library.utoronto.ca/space/30503
30504,M42,2,7434,https://libcal.library.utoronto.ca/space/30504
30505,M46,2,7434,https://libcal.library.utoronto.ca/space/30505
30506,M48,2,7434,https://libcal.library.utoronto.ca/space/30506
30507,C130,2,7434,https://libcal.library.utoronto.ca/space/30507
30508,C132,2,7434,https://libcal.library.utoronto.ca/space/30508
30509,C134,2,7434,https://libcal.library.utoronto.ca/space/30509
30510,C136,2,7434,https://libcal.library.utoronto.ca/space/30510
30645,Room 201,2,7449,https://libcal.library.utoronto.ca/space/30645
30646,Room 202,2,7449,https://libcal.library.utoronto.ca/space/30646
30647,Room 231,2,7449,https://libcal.library.utoronto.ca/space/30647
30648,Room 206,2,7449,https://libcal.library.utoronto.ca/space/30648
30649,Room 205,2,7449,https://libcal.library.utoronto.ca/space/30649
33397,UC366A,1,7996,https://libcal.library.utoronto.ca/space/33397
33398,UC366B,1,7996,https://libcal.library.utoronto.ca/space/33398
33255,Pratt Study Room 202,3,7970,https://libcal.library.utoronto.ca/space/33255